CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
HU 2633	Fundamentals of Digital Imaging	Humanities	3	null	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2642	Introduction to Digital Media	Humanities	3	null	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2645	Graphic and Information Design	Humanities	3	null	null	Fall	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2700	Introduction to Philosophy	Humanities	3	null	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2701	Logic and Critical Thinking	Humanities	3	null	null	On Demand	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2702	Ethical Theory and Moral Problems	Humanities	3	null	null	"Fall, Summer"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2810	Research and Writing in Communication	Humanities	3	UN 1015(C)	null	Spring	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2820	Communication and Culture	Humanities	3	null	null	Fall	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2830	Public Speaking &amp; Multimedia	Humanities	3	null	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2910	Language and Mind	Humanities	3	null	null	Fall	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 2920	Language and Society	Humanities	3	null	null	Spring	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 3015	Advanced Composition	Humanities	3	UN 1015	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 3120	Technical and Professional Communication	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3130	Rhetoric of Science and Technology	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3150	Topics in Literacy Studies	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3151	The Rhetoric of Everyday Texts	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3201	Level II-A Chinese Language and Culture	Humanities	3	HU 2202 or Language Placement Chinese >= 201	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3202	Level II-B Chinese Language and Culture	Humanities	3	HU 3201 or Language Placement Chinese >= 301	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3204	Level III Topics in Chinese Literature and Culture	Humanities	3.0;  Repeatable to a Max of 6	HU 3202 or Language Placement Chinese >= 401	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3241	Level II A Less Commonly Taught Language and Culture	Humanities	3	HU 2242	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3242	Level II B Less Commonly Taught Language and Culture	Humanities	3	HU 3241	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3253	World Literatures &amp; Cultures	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3261	Topics in Communicating Across Cultures	Humanities	3.0;  Repeatable to a Max of 6	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3262	Topics in Francophone Cultures	Humanities	3	null	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3263	Topics in German-Speaking Cultures	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3264	Topics in Spanish-Speaking Cultures	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3265	Topics in East Asian Cultures	Humanities	3	null	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3271	Level II-A French Language and Culture	Humanities	3	HU 2272 or HU 2273 or Language Placement French >= 331	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3272	Level II-B French Language and Culture	Humanities	3	HU 3271 or Language Placement French >= 421	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3273	Level II French Composition and Conversation	Humanities	3	HU 2272 or HU 2273 or Lang Placement French I-A Tran >= 301	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3274	Level III Topics in French Literature and Culture	Humanities	3.0;  Repeatable to a Max of 6	HU 3272 or HU 3273 or Language Placement French >= 501	null	Fall - Offered alternate years beginning with the 2013-2014 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3275	Level III French for Special Purposes	Humanities	3.0;  Repeatable to a Max of 6	HU 3272 or HU 3273 or Language Placement French >= 501	null	Fall - Offered alternate years beginning with the 2013-2014 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3280	Level I-C German Language and Culture	Humanities	3	HU 2282 or Language Placement German >= 221	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3281	Level II-A German Language and Culture	Humanities	3	HU 3280 or Language Placement German >= 301	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3282	Level II-B German Language and Culture	Humanities	3	HU 3281 or Language Placement German >= 371	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3283	Level II German for Special Purposes	Humanities	3	HU 3282 or Language Placement German >= 451	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3284	Level III in German Literature and Culture	Humanities	3.0;  Repeatable to a Max of 6	HU 3282 or Language Placement German >= 521 or CEEB German Language >= 3	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3285	Level III German: Film and Media	Humanities	3.0;  Repeatable to a Max of 6	HU 3282 or Language Placement German >= 521 or CEEB German Language >= 3	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3291	Level II Spanish Language and Culture	Humanities	3	HU 2292 or HU 2293 or Language Placement Spanish >= 321	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3292	Level II-B Spanish Language and Culture	Humanities	3	HU 2232 or HU 3291 or Language Placement Spanish >= 401	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3293	Level IIC Spanish Composition and Conversation	Humanities	3	HU 2293 or HU 3291 or HU 3292 or Language Placement Spanish >= 480	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
HU 3294	Hispanic Literatures and Cultures	Humanities	3.0;  Repeatable to a Max of 9	HU 3293 or Language Placement Spanish >= 631	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
HU 3295	Level III Advanced Spanish for Literacies	Humanities	3.0;  Repeatable to a Max of 9	HU 3293 or Language Placement Spanish >= 631	null	Fall - Offered alternate years beginning with the 2015-2016 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3296	Introduction to Hispanic Literatures and Cultures	Humanities	3.0;  Repeatable to a Max of 6	HU 3293 or Language Placement Spanish >= 631	null	On Demand - Offered alternate years beginning with the 2015-2016 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3325	Film History and Theory	Humanities	3	HU 2324 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2017-2018 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3326	Topics in World Cinema	Humanities	3.0;  Repeatable to a Max of 6	HU 2324 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3400	Topics in Diversity Studies	Humanities	3.0;  Repeatable to a Max of 9	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3401	Gender and Culture	Humanities	3.0;  Repeatable to a Max of 6	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3502	Mythologies	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2001-2002 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3504	Studies in the Novel	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3505	"Literary Forms, Genres, and Modes"	Humanities	3.0;  Repeatable to a Max of 6	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3506	Major Authors	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3507	Cultural Traditions in Literature	Humanities	3.0;  Repeatable to a Max of 6	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3513	Shakespeare	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3514	Workshop in Creative Nonfiction	Humanities	3	HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3515	Workshop in Poetry	Humanities	3	HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3516	Workshop in Fiction	Humanities	3	HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3517	Literary Theory and Criticism	Humanities	3	UN 1015	null	Spring - Offered alternate years beginning with the 2004-2005 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3545	Literature Across Borders	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Summer - Offered alternate years beginning with the 2004-2005 academic year "	May not be enrolled in one of the following Class(es): Freshman
HU 3554	Science Fiction and Fantasy Literature	Humanities	3.0;  Repeatable to a Max of 6	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3557	Literature and Science	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand - Offered alternate years beginning with the 2015-2016 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3600	Professional Development in the Humanities	Humanities	3	null	null	On Demand	"Must be enrolled in one of the following Major(s): Comm and Culture Studies, Scientific &amp; Tech Comm (BS), Liberal Arts, Scientific &amp; Tech Comm (BA), Humanities, English; May not be enrolled in one of the following Class(es): Freshman"
HU 3605	Grammar and Usage in Society	Humanities	3	null	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3606	Editing	Humanities	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3621	Introduction to Journalism	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3630	Publications and Information Management	Humanities	3	HU 2642 and HU 2633 or HU 2645	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3650	Introduction to Web Design	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 3693	Science Writing	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2016-2017 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3694	Grant Writing	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall - Offered alternate years beginning with the 2016-2017 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3695	Digital Writing and Rhetoric	Humanities	3	HU 2642 or HU 2130 or HU 3120	null	Fall - Offered alternate years beginning with the 2016-2017 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3700	Philosophy of Science	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3701	Philosophy of Technology	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3702	Philosophy of Religion	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3710	Engineering Ethics	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3711	Biomedical Ethics	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3800	Media and Society	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3810	Technology and Culture	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3820	Interpersonal Communication	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3830	"Creativity, Culture, and Change"	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2016-2017 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3832	Advanced Digital Presentation	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3840	Organizational Communication	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3850	Cultural Studies	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall - Offered alternate years beginning with the 2015-2016 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3860	Popular Culture	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3871	New Media Theory	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 3872	"Color, Visuality, and Culture"	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2017-2018 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3882	Media Industries	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3890	Documentary	Humanities	3	null	null	Fall	May not be enrolled in one of the following Class(es): Freshman
HU 3910	Global Language Issues	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2009-2010 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3940	Language and Identity	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2010-2011 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 3961	Theroetical Foundation of TESOL	Humanities	3	HU 2910	HU 3605	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3962	TESOL Methods and Materials	Humanities	3	HU 3961	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3963	Assessment and Testing in TESOL	Humanities	3	null	HU 3961	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 3964	Cross-Cultural Aspects of TESOL	Humanities	3	null	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 4050	Special Topics	Humanities	variable to   6.0;  May be repeated	null	null	"Fall, Spring, Summer"	Permission of instructor required
HU 4060	Humanities Workshop	Humanities	variable to   6.0;  May be repeated	null	null	"Fall, Spring, Summer"	Permission of instructor required
HU 4101	Multiliteracies Center Practicum	Humanities	1.0;  May be repeated	UN 1015	null	"Fall, Spring"	Permission of instructor required
HU 4130	Special Topics in Rhetoric and Composition	Humanities	3	null	null	Spring - Offered alternate years beginning with the 2000-2001 academic year 	Permission of instructor required
HU 4140	Methods of Teaching English	Humanities	4	ED 3110 and ED 3210 and ED 3410 and ED 4700(C)	null	Fall	Permission of department required
HU 4150	Literacy in the Content Areas	Humanities	4	ED 3110 and ED 3210 and ED 3410	null	"Fall, Spring"	Permission of department required
HU 4271	Modern Language Seminar I-French	Humanities	3	HU 3274 or HU 3275	null	On Demand	Permission of department required
HU 4272	Modern Language Seminar II-French	Humanities	3	HU 3274 or HU 3275	null	"Fall, Spring - Offered alternate years beginning with the 2001-2002 academic year "	Permission of department required
HU 4273	Modern Language Seminar III-French	Humanities	3	(HU 3274 or HU 3275) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	Permission of department required
HU 4281	Modern Language Seminar I-German	Humanities	3	HU 3284 or HU 3285	null	"Fall, Spring"	Permission of department required
HU 4282	Modern Language Seminar II-German	Humanities	3	(HU 3284 or HU 3285) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring - Offered alternate years beginning with the 2001-2002 academic year "	Permission of department required
HU 4283	Modern Language Seminar III-German	Humanities	3	HU 3284 or HU 3285	null	"Fall, Spring"	Permission of department required
HU 4291	Level IV Modern Language Seminar I-Spanish	Humanities	3	HU 3294 or HU 3295	null	On Demand	Permission of department required
HU 4292	Level IV Modern Language Seminar II-Spanish	Humanities	3	HU 3294 or HU 3295	null	On Demand	Permission of department required
HU 4293	Level IV Modern Language Seminar III-Spanish	Humanities	3	HU 3294 or HU 3295	null	On Demand	Permission of department required
HU 4500	Senior Seminar in English	Humanities	3.0;  Repeatable to a Max of 6	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 4501	BA Thesis	Humanities	3	null	null	On Demand	"Must be enrolled in one of the following Class(es): Junior, Senior"
HU 4600	Humanities Internship	Humanities	variable to   6.0;  May be repeated	null	null	On Demand	Permission of department required
HU 4625	Risk Communication	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
HU 4626	International Technical Communication	Humanities	3	HU 2600	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 4628	Usability and Instructions Writing	Humanities	3	HU 3120 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 4634	Advanced Practicum in Scientific and Technical Communication	Humanities	3	HU 3120 and HU 2600	null	Fall	"Must be enrolled in one of the following Major(s): Scientific &amp; Tech Comm (BS), Scientific &amp; Tech Comm (BA)"
HU 4642	Advanced Topics in Media	Humanities	3.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor required
HU 4690	Special Topics in Technical and Professional Communication	Humanities	3.0;  Repeatable to a Max of 9	null	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 4700	Topics in Philosophy	Humanities	3.0;  Repeatable to a Max of 9	UN 1015	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 4701	Political Philosophy	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
HU 4725	Existentialism and Phenomenology	Humanities	3	null	null	Spring - Offered alternate years beginning with the 2013-2014 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 4800	Media and Globalization	Humanities	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall - Offered alternate years beginning with the 2014-2015 academic year 	May not be enrolled in one of the following Class(es): Freshman
HU 4890	Topics in Communication	Humanities	3.0;  Repeatable to a Max of 9	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
HU 4961	Practicum in TESOL	Humanities	variable to   6.0;  Repeatable to a Max of 6	HU 3962	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MA 0010	Development of Mathematics Skills	Mathematical Sciences	0.0;  May be repeated	null	null	"Fall, Spring"	Permission of instructor required
MA 0030	Lab Approach for College Algebra	Mathematical Sciences	0.0;  May be repeated	null	MA 1030	"Fall, Spring"	Permission of instructor required
MA 0031	Lab Approach for College Algebra II	Mathematical Sciences	0.0;  May be repeated	null	MA 1031	"Fall, Spring, Summer"	Permission of instructor required
MA 1020	Quantitative Literacy	Mathematical Sciences	4	ALEKS Math Placement >= 00	null	Fall	"Must be enrolled in one of the following Major(s): Communication, Culture &amp; Media, Comm and Culture Studies, Theatre &amp; Electr. Media Perf., English, Theatre &amp; Entertain Tech (BS), Theatre &amp; Entertain Tech (BA), Liberal Arts, Psychology, Sports and Fitness Management, History, Social Sciences, Liberal Arts with History Opt, Scientific &amp; Tech Comm (BA), Scientific &amp; Tech Comm (BS), Humanities"
MA 1030	College Algebra I	Mathematical Sciences	3	ALEKS Math Placement >= 00	MA 0030	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Communication, Culture &amp; Media, Comm and Culture Studies, Theatre &amp; Electr. Media Perf., English, Theatre &amp; Entertain Tech (BS), Theatre &amp; Entertain Tech (BA), Liberal Arts, Psychology, Sports and Fitness Management, History, Social Sciences, Liberal Arts with History Opt, Scientific &amp; Tech Comm (BA), Scientific &amp; Tech Comm (BS), Humanities"
MA 1031	College Algebra II with Trigonometry	Mathematical Sciences	3	MA 1030	MA 0031	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Communication, Culture &amp; Media, Comm and Culture Studies, Theatre &amp; Electr. Media Perf., English, Theatre &amp; Entertain Tech (BS), Theatre &amp; Entertain Tech (BA), Liberal Arts, Psychology, Sports and Fitness Management, History, Social Sciences, Liberal Arts with History Opt, Scientific &amp; Tech Comm (BA), Scientific &amp; Tech Comm (BS), Humanities"
MA 1032	Precalculus	Mathematical Sciences	4	ALEKS Math Placement >= 56	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Communication, Culture &amp; Media, Comm and Culture Studies, Theatre &amp; Electr. Media Perf., English, Theatre &amp; Entertain Tech (BS), Theatre &amp; Entertain Tech (BA), Liberal Arts, Psychology, Sports and Fitness Management, History, Social Sciences, Liberal Arts with History Opt, Scientific &amp; Tech Comm (BA), Scientific &amp; Tech Comm (BS), Humanities"
MA 1135	Calculus for Life Sciences	Mathematical Sciences	4	MA 1032 or MA 1031 or ALEKS Math Placement >= 70 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2	null	"Fall, Spring, Summer"	May not be enrolled in one of the following College(s): College of Engineering
MA 1160	Calculus with Technology I	Mathematical Sciences	4	MA 1032 or MA 1031 or ALEKS Math Placement >= 80 or CEEB Calculus AB >= 3 or CEEB Calculus BC >= 3 or CEEB Calculus AB Subscore >= 3	null	"Fall, Spring"	May not be enrolled in one of the following College(s): College of Engineering
MA 1161	Calculus Plus w/ Technology I	Mathematical Sciences	5	MA 1032 or MA 1031 or ALEKS Math Placement >= 70 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2	null	"Fall, Spring, Summer"	May not be enrolled in one of the following College(s): College of Engineering
MA 1600	Introduction to Scientific Simulation	Mathematical Sciences	3	MA 1160 or MA 1161	null	Spring	May not be enrolled in one of the following College(s): College of Engineering
MA 1910	Exploring Symmetry Groups	Mathematical Sciences	3	null	null	Fall - Offered alternate years beginning with the 2000-2001 academic year 	May not be enrolled in one of the following College(s): College of Engineering
MA 1920	Exploring Knots and Surfaces	Mathematical Sciences	3	null	null	Fall - Offered alternate years beginning with the 2001-2002 academic year 	May not be enrolled in one of the following College(s): College of Engineering
MA 1930	Exploring Number Theory	Mathematical Sciences	3	null	null	Fall - Offered alternate years beginning with the 2006-2007 academic year 	May not be enrolled in one of the following College(s): College of Engineering
MA 1940	Exploring Non-Euclidean Geometry	Mathematical Sciences	3	null	null	Fall - Offered alternate years beginning with the 2003-2004 academic year 	May not be enrolled in one of the following College(s): College of Engineering
MA 1990	Elementary Mathematics Topics	Mathematical Sciences	variable to   6.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
MA 2020	Prep for Putnam Exam	Mathematical Sciences	1.0;  Repeatable to a Max of 4; Graded Pass/Fail Only	null	null	Fall	Permission of instructor required
MA 2160	Calculus with Technology II	Mathematical Sciences	4	MA 1160 or MA 1161 or MA 1135 or CEEB Calculus AB >= 3 or CEEB Calculus BC >= 3 or CEEB Calculus AB Subscore >= 3	null	"Fall, Spring, Summer"	Permission of instructor required
MA 2320	Elementary Linear Algebra	Mathematical Sciences	2	MA 1160 or MA 1161 or MA 1135	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Mathematics, Software Engineering, Computer Science"
MA 2321	Elementary Linear Algebra	Mathematical Sciences	2	MA 2160	MA 3521	"Fall, Spring"	"May not be enrolled in one of the following Major(s): Mathematics, Software Engineering, Computer Science"
MA 2330	Introduction to Linear Algebra	Mathematical Sciences	3	MA 1160 or MA 1161 or MA 1135	null	"Fall, Spring"	"May not be enrolled in one of the following Major(s): Mathematics, Software Engineering, Computer Science"
MA 2600	Scientific Computing	Mathematical Sciences	3	MA 2160 and (MA 2320 or MA 2321 or MA 2330)	null	Fall	"May not be enrolled in one of the following Major(s): Mathematics, Software Engineering, Computer Science"
MA 2710	Introduction to Statistical Analysis	Mathematical Sciences	3	MA 1160 or MA 1161 or MA 1135	null	Spring	"Must be enrolled in one of the following Major(s): Statistics, Mathematics"
MA 2720	Statistical Methods	Mathematical Sciences	4	MA 1020 or MA 1030 or ALEKS Math Placement >= 50	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Major(s): Mathematics
MA 2910	Mathematical Experimentation	Mathematical Sciences	3	MA 1160 or MA 1161	null	Spring	May not be enrolled in one of the following Major(s): Mathematics
MA 2990	Elementary Topics in Mathematics	Mathematical Sciences	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
MA 3160	Multivariable Calculus with Technology	Mathematical Sciences	4	MA 2160 or CEEB Calculus BC >= 3	null	"Fall, Spring, Summer"	Permission of instructor required
MA 3202	Introduction to Coding Theory	Mathematical Sciences	3	MA 2320 or MA 2321 or MA 2330	null	Fall	Permission of instructor required
MA 3203	Introduction to Cryptography	Mathematical Sciences	3	MA 2320 or MA 2321 or MA 2330	null	"Spring, Summer"	Permission of instructor required
MA 3210	Introduction to Combinatorics	Mathematical Sciences	3	MA 2320 or MA 2321 or MA 2330	null	"Fall, Summer"	Permission of instructor required
