CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
CMG 4120	Construction Planning and Scheduling	Construction Management	3	CMG 3265 or CE 3332	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4200	Construction Contracts	Construction Management	3	BUS 2200	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4210	Construction Project Management	Construction Management	4	CMG 4200	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4300	Construction Finance and Accounting	Construction Management	3	ACC 2000 and EC 3400	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4400	Construction Safety Management	Construction Management	3	null	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4800	Sustainable Construction	Construction Management	3	null	null	Spring	"Must be enrolled in one of the following Class(es): Junior, Senior"
CMG 4900	Construction Project Simulation	Construction Management	4	CMG 3200 and CMG 3250 and CMG 4120(C) and CMG 4210 and HU 3120	null	Spring	Must be enrolled in one of the following Major(s): Construction Management; Must be enrolled in one of the following Class(es): Senior
CMG 4996	Special Topics in Construction Management	Construction Management	variable to   3.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor required; Must be enrolled in one of the following Major(s): Construction Management; Must be enrolled in one of the following Class(es): Senior
CMG 4997	Independent Study in Construction Management	Construction Management	variable to   3.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor required; Must be enrolled in one of the following Major(s): Construction Management; Must be enrolled in one of the following Class(es): Senior
CMG 4998	Undergraduate Research in Construction Management	Construction Management	variable to   6.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor required; Must be enrolled in one of the following Major(s): Construction Management; Must be enrolled in one of the following Class(es): Senior
CS 1000	Explorations in Computing	Computer Science	1	null	null	Fall	"Must be enrolled in one of the following Major(s): Software Engineering, Computer Science, Computer Systems Science, Computer Engineering, Electrical Engineering; Must be enrolled in one of the following Class(es): Freshman"
CS 1040	Assembly Language Programming	Computer Science	1	CS 1122 or CS 1131	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Software Engineering, Computer Science, Computer Systems Science, Computer Engineering, Electrical Engineering; Must be enrolled in one of the following Class(es): Freshman"
CS 1090	Special Topics in Computer Science	Computer Science	variable to   3.0;  May be repeated	null	null	On Demand	Permission of instructor required
CS 1111	Introduction to Programming in C/C++	Computer Science	3	null	null	Fall	"Must be enrolled in one of the following Major(s): Computer Network &amp; System Admn, Industrial Technology, Electrical Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 1121	Introduction to Programming I	Computer Science	3	MA 1031(C) or MA 1032(C)	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Computer Network &amp; System Admn, Industrial Technology, Electrical Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 1122	Introduction to Programming II	Computer Science	3	CS 1121	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Computer Network &amp; System Admn, Industrial Technology, Electrical Engineering; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
